title,history_text
abra kadabra with animation astral projection dimensional travel hypnokinesis illusion immortality intelligence longevity magic marksmanship matter manipulation possession precognition probability manipulation stamina stealth time manipulation time travel,citizen abra stage magician 64th century go name abra kadabra
abraxas with dimensional awareness dimensional travel durability energy absorption energy beam energy blast energy manipulation flight immortality intelligence invulnerability magic matter absorption molecular manipulation omnipotent power cosmic reality warp selfsustenance size change stamina super speed super strength teleportation,bear within abstract entity eternity abraxas keep check throughout multiverse existence galactus death galactus earth616 abraxas free roam dimension kill every version galactus find abraxas send decapitate galactus skull store alternate earth nova hurtle towards earth abraxas drew nearer wall dimensional space begin blur render uatu watcher comatose cause group otherdimensional super human call law enforcement squad enter earth616 battle fantastic four join group cosmic hero fantastic four battle cadre abraxas follower moon silver surfer kill realizing danger abraxas pose fantastic four go dimensionhopping journey recover ultimate nullifier one weapon could destroy invisible woman find earth16 atlanterra world rule atlantis mister fantastic earth13 world resemble 1930s teamed heroic five future thing earth1 meet challenger doom world devour galactus fantastic four away abraxas stalk franklin richards foreseen arrival dream franklin sister valeria teleport away roma time abraxas encounter namorita transform kymaera atlantean state making unable breathe oxygen effectively kill learn portion location nullifier alternate world johnny storm fantastic four enable earth616 human torch remember location nullifier nova turn torch steal nullifier abraxas true master abraxas appear rom appear kill teleport valeria franklin roma aide saturnyne location fantastic four abraxas receive nullifier nova reveal dimension galactus take heraldbut still consume earth nova join small army alternate self protect abraxas earths hero franklin valeria combine power resurrect earth616 galactus easily retrieve nullifier hand reed richards reed nullified universe universe restore previous normality abraxas nowhere find silver surfer namorita return life
absorb man mcu with agility camouflage cold resistance durability elemental transmogrification energy absorption fire resistance heat resistance intangibility invulnerability matter absorption natural armor stamen super strength,carl crusher creel enhance individual ability absorb property anything touch originally boxer creel appear shield radar deem dangerous john garrett send kill garrett secretly work hydra fake creel death recruit hydra creel work daniel whitehall order steal obelisk creel stop phil coulsons team hand glenn talbot custody recover effect obelisk creel underwent month treatment rid hydra brainwash brigadier general glenn talbot make leader atcu commission creel personal bodyguard meeting discus inhumans threat pose although shield doubt creel prove trustworthy follow talbots incapacitation due attempt life creel recruit general hale one last remain hydra leader join team goal capture member shield framed attack talbot upon learn coulson talbot held prisoner creel help escape however still suffer effect expose gravitonium hale creel betray talbot become empower element go mad power talbot help creel absorb property gravitonium transform element consume creel gain gravitonium
absorb man with absorption cold resistance density control durability elasticity elemental transmogrification energy absorption fire resistance heat resistance immortality intangibility invulnerability matter absorption molecular manipulation natural armor natural weapon regeneration shapeshifting size change super strength,turn crime creel fight boxer one point face battle jack murdock ring ringname rocky davis kind shout cousin name serve time prison aggravate assault committed member extortion racket carl crusher creel select loki asgardian god mischief unwitting agent scheme thor god thunder add enchanted potion compose rare asgardian herb creel drink water prison commissary loki grant brutal convict bizarre power hop would enable defeat thor power absorb physical property anything come contact creel use newfound power break free prison soon become engaged battle thor due ability absorb property thor hammer thor creel call absorb man become one strong mortal foe thor ever combat thor force concede fight creel kidnap jane foster creel ransack house attack resident point thor rematch defeat thor trick hit ground mjolnir turn creel helium cause float harmlessly atmosphere restore return earth loki use asgardian tech battle thor follow knock asgardian warlock loki transport asgard criminal could use scheme take asgard absorb man dare challenge odin lord asgardians odin summarily dispatch space creel eventually manage return earth hitch ride comet soon encountered hulk bruce banner however defeat process absorb hulk power transformation human bruce banner absorb man challenge thor defeat trick turning water short time later thor defeat trick absorb property cardboard replica thor hammer serve short prison sentence creel manage escape contact wield power cabal power seeker el dorado hire destroy hulk fail inadvertently absorb property glass fall eventually reassemble shard body absorb man decide tired fighting lose superhuman champion seek flee country creel foolishly take hostage thereby bring avenger escape jumped ocean transform water finally regain natural form mind addle prolonged intermingle ocean frighten anyone superhuman power chance battle hulk cure paranoia however return america stalk mutant dazzler alison blaire acquire lightpowers use avenger defeat however dazzler inhuman black bolt creel abduct prison omnipotent know beyonder fight socalled secret war return earth time creel meet villainous titania mary macpherran two develop romantic relationship upon return creel titania contact baron zemo helmut zemo form new team call master evil several independent assignment defeat antman scott lang wasp creel continue engage various criminal activity often partner titania although two often run afoul one superhero another include archenemy thor several month titania creel get married villain turn away malicious action prefer quietly keep company creel titania occasionally come conflict superheroes black widow natasha romanoff vendetta dispose avenger foes another time creel dupe villain crossbones keep captain america steve rogers busy crossbones ignite bomb creel however claim murderer absorb property captain americas shield save city explosion creel escape seek revenge crossbones absorb man eventually become highly addict narcotic especially pain killer cocaine need high demonstrates concern safety others work whatever criminal supply narcotic trick transform cocaine minion operate powerful industrial fan scatter body room occupy body mass collect surface place several plastic bag owl sell creel cocaine use drug new york use drug transform whatever come contact like creel level control result several injurys death eventually creel manage reform defeat spiderman peter parker avenger creel take project pegasus bond fragment cosmic cube order shift reality loki give norman osborn chance show hank pym avenger cut power disable creel think scrambler follow incident allow creel become allpowerful deal reality punch cause vision split iron lad original vision also cause sentry void become separate entity loki give osborn spell breaker use apparently left creel powerless skadi free serpent call hammer worthy earth one hammer transform absorb man greithoth breaker will final battle thor kill serpent absorb man hammer take well hammer worhty latter see attack museum natual history search moon rock believe would give moon power defeat steve rogers new captain marvel recently break jail caught spiderman iron man
ace morgan with agility banish energy blast enhance sight intelligence intuitive aptitude magic marksmanship peak human condition reflex stamina summon weaponbased power weapon master,nothing
achilles warkiller with accelerated heal agility durability enhance hearing enhanced memory enhance sens enhance sight enhance smell fire resistance flight intelligence invulnerability longevity marksmanship master martial artist master tactician radar sense reflexes regeneration spatial awareness stamen super speed super strength weaponbased power weapon master,achilles warkiller create zeus counter wonder woman
acidicus with accelerated heal adaptation agility animal attribute animal control animal orient power camouflage cold resistance dexterity durability element control endurance enhance hearing enhanced memory enhance sens enhance sight enhance smell enhance touch fear manipulation fire resistance heat resistance illusion intelligence invulnerability jump longevity marksmanship mind control natural armor natural weapon peak human condition reflex regeneration selfsustenance stamina stealth summon super speed super strength toxin and disease control toxin and disease resistance underwater breathe vision infrared vision night vision telescopic vision thermal weaponbased power weapon master,serpentine war acidicus serpentine attack jamanakai village though fended elemental alliance anacondrai soon arrive long acidicus announce arcturus take village near end war acidicus venomari take handful civilian hostage toxic bog maya find use sacred flute lock venomari tomb
adal with element control heat generation light control matter manipulation,naaru little know adal personally though appear count khadgar velen personal friend point follow destruction draenor adal compatriot shatar arrive assisted aldor reclaim ruin shattrath city adal also approve alliance shattraths force son lothar extent khadgar move shattrath assist shatar point illidans victory magtheridon army blood elf march city instead lay siege shattrath leader vorenthal seer kneel adal pledge support force scryers cause adal shatar
adam monroe with accelerated heal immortality regeneration,nothing
adam strange with agility durability enhance sight fire resistance flight intelligence marksmanship master martial artist master tactician power suit reflexes stamina stealth super speed vision telescopic weapon master,work dig caramanga south america adam transport planet rann via zetabeam immediately befriend rannians take flight pack raygun assist also fell love rannian woman name alanna zeta beam teleportation effect wore adam return earth however able return rann follow schedule zeta beam would next hit scheduled archeological trip coincide location time also marry alanna initially believe zeta beam use simply friendly communication rann earth however later hint rann search suitable mate planet rannians find sterile adam meet jla help battle kanjarro decline membership offer continue act earth rann help improve relation among different planet still earth adam falsely tell alanna die childbirth later reunite wife daughter adam later tell rann destroy starbreaker omega beam however actually early warning sardath adam able prevent ranns destruction help omega men remain darkstars although thanagar destroy survive refugee settle rann thanagarians rannians recently begin fight manipulate blackfire adam green lantern kyle rayner able halt war adam strange strand paradiselike planet fellow hero animal man starfire battle alexander luthor superboyprime incident result loss eye several week adam able get spaceship work departed earth ship however attack devilance encounter planet pursue space lobo appear time destroy devilance negotiation agree help
agent 13 mcu with intelligence peak human condition weaponbased power weapon master,greatnieceof shield cofounder peggy carter sharon grow interest agency follow peggys advice join despite mother protest contrary ensure would famed ancestor shadow shron refuse disclose surname shield
agent 13 with agility camouflage endurance intelligence marksmanship peak human condition reflex stamina stealth weaponbased power weapon master,sharon carter daughter harrison amanda carter two wealthy virginian younger sister margaret peggy carter heroic freedom fighter world war ii share many adventure captain america suppose death end war peggy return home need hospitalization traumatic shellshock tell young sister many story captain america inspire tale sister exploit sharon decide become agent shield international espionage agency first major assignment sharon carter codenamed agent 13 choose pick cylinder contain powerful explosive call inferno42 shield agent steal govern body subversive organization hydra coincidence captain america secret identity steve rogers saw carter way receive cylinder strike close resemblance sister peggy however rogers idea sharon carter know peggy cover identity soon afterwards sharon carter attack costume mercenary batroc hire recover cylinder captain america rogers come assistance batroc battle carter make cylinder unaware case damage activate explosive within learn batroc shield agent captain america go pursuit succeed save life prevent make use explosive captain america continue cross path carter two adventure know agent 13 one adventure captain america rescue subversive group aim two fell deeply love later assignment bring nazi red skull fourth sleeper robot together carter allow shield reveal secret identity captain america two become lover remain ally many subsequent mission carter briefly join shield socalled femme force allwomen squad commando later captain america learn carter sister woman love world war ii able rescue clutch evil doctor faustus mission doctor faustus carter participate would come believe final mission carter assign shield liaison new york city police department organization investigate subversive group call national force secretly control doctor faustus carter fell thrall faustus mindinfluencing gas rally central park abduct others national force grand director also fourth captain america carter others group coerce march new york city harlem area burn confront national guard mesmerize carter accordance order give faustus activate selfdestruct device costume believe incinerated member rally later reveal carter death stag shield director nick fury carter could go perform even dangerous assignment however something go wrong carter believe dead shield leave abandon behind enemy line end join shields enemy resentment toward fury even go become agent red skull however captain america defeat skull plan two reunite carter return home still wish confront nick fury carter learn fury believe dead kill vigilante know punisher death funeral stag carter surreptitiously infiltrated agency investigate find pursued shield want treason avoid capture carter force escape energy portal find abandon shield safehouse find nazi territory world war ii encounter nick fury fury find document questioned fate predecessor shield director codenamed fall angel believe kill agent hydra fact abandon shield hydra kidnap fury set track fall angel situation politically volatile fury divert attention investigation stag death search lead backslide supposedly abandon shield project create portal fabricated cosmic cube ultimately fall angel hop fury might use portal go back time prevent shield form thus gain revenge abandonment fury disagree fall angel struggle end travel portal lead back time merely create reality base memory war two soldier fall angel take life fury leave trapped fight stalemate war month carter presence allow backslides reality change offer way together fury carter battle way free side portal shield agent destroy portal since fury one could open carter fury manage escape moment portal destruction although fury disappear explosion soon afterward carter reenlisted shield recently sharon served brief term executive director shield nick fury absence currently field agent report directly new executive director liaison officer specifically assign support report captain americas activity captain america carter continue work together remain close recently begin investigate winter soldier follow conclusion civil war agent 13 find pawn doctor faustus red skull use faustus expertise hypnosis villain activate subconscious command sharons mind force shoot kill captain america
agent bob with stealth,bob agent hydra sidekick deadpool cowardly young man bob persuade join criminal organization hydra wife allison accuse able hold steady job think stable career dental plan also appeal bob though disappointed find hydra offer full dental like aim deadpools assault hydra rescue capture united state america run bob coerce help bob hesitant hydra would allow back organization betray deadpool four inch tall time tortured security card relent force bob fly safety one hydra jet though bob know pilot aircraft deadpool agent x bob return united state find outlaw sandi miss bob accompany deadpool mission save girl subsequently become honorary member agency x continue work group various mission refer deadpools pet minion pc bob recently shoot leg raid hydra base deadpool kidnap attempt save weasel wolverine wolverine cut deadpools head bob one put back let deadpools heal factor kick deadpool bob rescue weasel suddenly teleport past aid captain america bucky stop arnim zola follow adventure bob accompany deadpool mission various dimension help doctor strange save reality damage tray novice magic also travel deadpool weasel savage land run away assortment dinosaur deadpool attempt teleport dinos genosha prank magneto instead send genoshan embassy downtown manhattan well infected alien symbiotes responsible venom carnage resultant battle bob attempt flee accidentally cause death one creatures news crew watch think action intentional interview bob claim h uniform stood hero receive text message allison see event news think hot bob see watch television deadpool support cast series end bob later see assist deadpool defeat tiger shark deadpool ask he bob reply uuh save deadpool tell bob throw rifle bob throw doesnt get rifle fall water tiger shark wait bob throw like girl knock water however deadpool save last second able outmaneuver tiger shark bob shot hand explain deadpool along tiger shark hire norman osborn deadpool soon realize stole height secret invasion skrulls later bob call upon deadpool want bob pirate bob get stuck deadpools parrot catch scurvy possibly heat stroke world war hulk story line bob use time platform send hulkpool gammapowered deadpool back time kill deadpool unfortunately send alternate reality thing blackbeard bob try correct mistake end transport dinosaur reality
agent carter with agility hack weapon master,drmargaretalexandrapeggy carter bear wealthy carter family richmond virginia june 1920and consider virginia royalty grow alongside brother harrison teenaged peggy eventually learn world war ii leave france join fight
agent coulson destroyer gun with energy beam fire control hack intelligence weaponbased power weapon master,shield recover wreckage destroyer puente antiguo assign shield project phase 2 project aim develop new technology capable offer humanity incredible defense face threat level destroyer abomination shield researcher reverse engineer wrecked sentinel develop destroyer gun remain
agent coulson mcu with agility dexterity endurance intelligence reflex stealth super speed weaponbased power weapon master,son robert julie coulson phil coulson bear manitowoc wisconsin july 8 1964 child wish sibling idealize kind relationship would younger brother coulson family identify catholic would attend mass christmas easter coulson grow huge fan peggy carter captain america acquire vintage captain america card collection course two year play baseball little league bat 400 average father introduced car tinker together work red corvette phil keep day coulson lose father young age mother decease well high school college study history learn shield shape time recruit right away strategic homeland intervention enforcement logistics division study shield academy communication eventually become special agent taught supervise officer nick fury alongside john garrett
agent may mcu with agility intelligence stealth weaponbased power weapon master,melinda may bear william intelligence operative lian may age 7 become ice skater admire famous ice skater dorothy hamill win many award competition however find ice hard fell age 12 switch martial art floor pad
agent zero fox with absorption agility energy absorption marksmanship reflex,midlate 1973 zero member team x consist chris bradley john wraithfred dukeswade wilson victor creed james howlett command william stryker help stryker find metallic compound know adamantium along victor creed one team x stay faithful stryker team disband
